,user_id,type,submitdate,positive_affect_score,negative_affect_score
1,621e2e8e67b776a24055b564,panas,2021-07-26,37,14
2,621e2e8e67b776a24055b564,panas,2021-05-31,38,12
3,621e2e8e67b776a24055b564,panas,2021-06-07,37,12
4,621e2e8e67b776a24055b564,panas,2021-06-28,31,12
5,621e2e8e67b776a24055b564,panas,2021-07-19,37,12
0,621e2eaf67b776a2406b14ac,panas,2021-11-29,28,35
1,621e2eaf67b776a2406b14ac,panas,2021-12-06,32,21
2,621e2eaf67b776a2406b14ac,panas,2021-12-13,26,17
4,621e2eaf67b776a2406b14ac,panas,2022-01-10,27,12
5,621e2eaf67b776a2406b14ac,panas,2022-01-05,33,21
6,621e2eaf67b776a2406b14ac,panas,2022-01-07,26,16
0,621e2ed667b776a24085d8d1,panas,2021-06-07,28,20
1,621e2ed667b776a24085d8d1,panas,2021-06-22,33,19
2,621e2ed667b776a24085d8d1,panas,2021-07-17,26,40
3,621e2ed667b776a24085d8d1,panas,2021-07-30,24,20
4,621e2ed667b776a24085d8d1,panas,2021-06-30,35,23
0,621e2f3967b776a240c654db,panas,2021-05-31,30,12
1,621e2f3967b776a240c654db,panas,2021-06-07,29,13
2,621e2f3967b776a240c654db,panas,2021-06-22,30,15
3,621e2f3967b776a240c654db,panas,2021-07-05,28,31
4,621e2f3967b776a240c654db,panas,2021-07-13,29,24
5,621e2f3967b776a240c654db,panas,2021-07-26,29,24
6,621e2f3967b776a240c654db,panas,2021-06-15,31,15
7,621e2f3967b776a240c654db,panas,2021-06-28,30,11
8,621e2f3967b776a240c654db,panas,2021-07-20,25,32
0,621e2f6167b776a240e082a9,panas,2021-06-08,31,26
1,621e2f6167b776a240e082a9,panas,2021-06-14,28,18
2,621e2f6167b776a240e082a9,panas,2021-06-23,19,29
3,621e2f6167b776a240e082a9,panas,2021-06-29,18,28
4,621e2f6167b776a240e082a9,panas,2021-08-02,18,26
5,621e2f6167b776a240e082a9,panas,2021-06-01,30,18
6,621e2f6167b776a240e082a9,panas,2021-07-15,27,27
0,621e2f7a67b776a240f14425,panas,2021-05-31,21,13
1,621e2f7a67b776a240f14425,panas,2021-06-20,38,16
2,621e2f7a67b776a240f14425,panas,2021-06-22,40,15
3,621e2f7a67b776a240f14425,panas,2021-06-28,39,17
4,621e2f7a67b776a240f14425,panas,2021-07-06,32,26
5,621e2f7a67b776a240f14425,panas,2021-07-13,35,16
6,621e2f7a67b776a240f14425,panas,2021-07-19,38,23
7,621e2f7a67b776a240f14425,panas,2021-06-08,32,17
8,621e2f7a67b776a240f14425,panas,2021-07-30,43,18
0,621e2f9167b776a240011ccb,panas,2021-12-12,30,45
1,621e2f9167b776a240011ccb,panas,2021-12-26,43,26
2,621e2f9167b776a240011ccb,panas,2022-01-16,43,31
3,621e2f9167b776a240011ccb,panas,2021-11-28,40,29
4,621e2f9167b776a240011ccb,panas,2022-01-09,39,36
0,621e2fb367b776a24015accd,panas,2021-06-07,37,16
2,621e2fb367b776a24015accd,panas,2021-06-28,25,27
3,621e2fb367b776a24015accd,panas,2021-07-12,29,22
4,621e2fb367b776a24015accd,panas,2021-07-20,27,17
5,621e2fb367b776a24015accd,panas,2021-07-26,28,14
6,621e2fb367b776a24015accd,panas,2021-05-31,35,17
7,621e2fb367b776a24015accd,panas,2021-06-22,35,19
8,621e2fb367b776a24015accd,panas,2021-07-05,32,21
0,621e2fce67b776a240279baa,panas,2021-05-31,24,21
1,621e2fce67b776a240279baa,panas,2021-07-05,33,21
2,621e2fce67b776a240279baa,panas,2021-07-20,20,18
3,621e2fce67b776a240279baa,panas,2021-07-26,28,15
4,621e2fce67b776a240279baa,panas,2021-06-24,27,13
0,621e2ff067b776a2403eb737,panas,2021-12-13,21,20
1,621e2ff067b776a2403eb737,panas,2021-12-28,22,25
2,621e2ff067b776a2403eb737,panas,2021-11-29,19,27
3,621e2ff067b776a2403eb737,panas,2021-12-01,16,35
4,621e2ff067b776a2403eb737,panas,2021-12-06,21,19
5,621e2ff067b776a2403eb737,panas,2021-12-20,21,16
6,621e2ff067b776a2403eb737,panas,2022-01-03,18,17
7,621e2ff067b776a2403eb737,panas,2022-01-10,16,21
0,621e300767b776a2404dc717,panas,2021-12-20,30,22
1,621e300767b776a2404dc717,panas,2021-12-13,29,22
2,621e300767b776a2404dc717,panas,2021-12-27,29,20
3,621e300767b776a2404dc717,panas,2022-01-03,32,21
4,621e300767b776a2404dc717,panas,2022-01-10,32,22
0,621e301367b776a24057738e,panas,2021-06-01,32,14
1,621e301367b776a24057738e,panas,2021-06-20,33,24
2,621e301367b776a24057738e,panas,2021-06-08,33,13
3,621e301367b776a24057738e,panas,2021-06-29,32,17
4,621e301367b776a24057738e,panas,2021-07-13,33,13
10,621e301367b776a24057738e,panas,2021-07-26,27,18
4,621e301e67b776a240608a72,panas,2021-11-22,32,36
5,621e301e67b776a240608a72,panas,2021-06-07,39,22
6,621e301e67b776a240608a72,panas,2021-05-31,40,24
7,621e301e67b776a240608a72,panas,2021-08-28,36,22
8,621e301e67b776a240608a72,panas,2021-12-13,39,33
0,621e309b67b776a240b532b0,panas,2021-12-13,29,11
1,621e309b67b776a240b532b0,panas,2021-12-29,26,13
2,621e309b67b776a240b532b0,panas,2022-01-03,30,16
3,621e309b67b776a240b532b0,panas,2021-11-22,37,13
4,621e309b67b776a240b532b0,panas,2021-12-06,35,13
0,621e30c867b776a240d4aa6c,panas,2021-06-04,45,16
1,621e30c867b776a240d4aa6c,panas,2021-06-14,49,12
2,621e30c867b776a240d4aa6c,panas,2021-06-22,47,22
3,621e30c867b776a240d4aa6c,panas,2021-08-01,36,16
4,621e30c867b776a240d4aa6c,panas,2021-07-05,42,17
5,621e30c867b776a240d4aa6c,panas,2021-07-19,44,19
6,621e30c867b776a240d4aa6c,panas,2021-07-26,33,32
0,621e30e267b776a240e5bf90,panas,2021-11-29,30,24
1,621e30e267b776a240e5bf90,panas,2021-12-06,27,24
2,621e30e267b776a240e5bf90,panas,2021-12-20,29,19
3,621e30e267b776a240e5bf90,panas,2021-11-23,26,21
4,621e30e267b776a240e5bf90,panas,2021-12-13,28,23
5,621e30e267b776a240e5bf90,panas,2021-12-28,37,19
6,621e30e267b776a240e5bf90,panas,2022-01-03,27,17
7,621e30e267b776a240e5bf90,panas,2022-01-10,27,16
0,621e30e467b776a240e817c7,panas,2021-07-31,30,21
1,621e30e467b776a240e817c7,panas,2021-06-06,28,35
2,621e30e467b776a240e817c7,panas,2021-06-14,24,27
3,621e30e467b776a240e817c7,panas,2021-07-05,33,22
0,621e310d67b776a24003096d,panas,2021-12-27,33,19
1,621e310d67b776a24003096d,panas,2022-01-04,17,31
2,621e310d67b776a24003096d,panas,2021-11-22,36,22
0,621e312a67b776a240164d59,panas,2022-01-11,28,35
1,621e312a67b776a240164d59,panas,2021-11-22,30,28
2,621e312a67b776a240164d59,panas,2021-11-29,29,31
3,621e312a67b776a240164d59,panas,2021-12-14,37,32
4,621e312a67b776a240164d59,panas,2021-12-20,33,32
5,621e312a67b776a240164d59,panas,2021-12-27,29,31
0,621e314867b776a24029ebf9,panas,2021-05-31,34,13
1,621e314867b776a24029ebf9,panas,2021-06-23,34,15
0,621e323667b776a240f19134,panas,2021-11-22,41,23
1,621e323667b776a240f19134,panas,2021-11-29,42,18
2,621e323667b776a240f19134,panas,2021-12-12,30,25
3,621e323667b776a240f19134,panas,2021-12-20,39,22
4,621e323667b776a240f19134,panas,2022-01-03,25,25
5,621e323667b776a240f19134,panas,2022-01-11,37,20
0,621e324e67b776a2400191cb,panas,2021-11-27,43,13
1,621e324e67b776a2400191cb,panas,2021-12-20,46,13
2,621e324e67b776a2400191cb,panas,2022-01-09,49,12
3,621e324e67b776a2400191cb,panas,2022-01-17,45,10
4,621e324e67b776a2400191cb,panas,2021-12-06,48,16
5,621e324e67b776a2400191cb,panas,2021-12-31,42,11
0,621e326767b776a24012e179,panas,2021-07-01,34,28
1,621e326767b776a24012e179,panas,2021-07-12,35,29
2,621e326767b776a24012e179,panas,2021-06-07,27,37
3,621e326767b776a24012e179,panas,2021-06-28,22,41
4,621e326767b776a24012e179,panas,2021-07-19,36,27
5,621e326767b776a24012e179,panas,2021-07-26,39,24
0,621e328667b776a240281372,panas,2021-05-31,40,28
1,621e328667b776a240281372,panas,2021-09-19,46,27
0,621e329067b776a2402ffad2,panas,2021-05-31,30,23
1,621e329067b776a2402ffad2,panas,2021-06-28,37,17
2,621e329067b776a2402ffad2,panas,2021-06-07,29,11
3,621e329067b776a2402ffad2,panas,2021-06-14,31,14
4,621e329067b776a2402ffad2,panas,2021-06-21,36,21
5,621e329067b776a2402ffad2,panas,2021-07-05,33,19
6,621e329067b776a2402ffad2,panas,2021-07-12,33,20
7,621e329067b776a2402ffad2,panas,2021-07-19,32,17
8,621e329067b776a2402ffad2,panas,2021-07-26,35,22
0,621e32af67b776a24045b4cf,panas,2021-06-07,35,40
1,621e32af67b776a24045b4cf,panas,2021-06-14,33,42
2,621e32af67b776a24045b4cf,panas,2021-06-24,30,36
3,621e32af67b776a24045b4cf,panas,2021-07-26,27,38
4,621e32af67b776a24045b4cf,panas,2021-05-31,32,33
5,621e32af67b776a24045b4cf,panas,2021-06-28,27,39
6,621e32af67b776a24045b4cf,panas,2021-07-05,37,32
7,621e32af67b776a24045b4cf,panas,2021-07-12,34,40
8,621e32af67b776a24045b4cf,panas,2021-07-19,29,31
0,621e32d967b776a240627414,panas,2021-07-06,29,15
1,621e32d967b776a240627414,panas,2021-07-12,20,24
2,621e32d967b776a240627414,panas,2021-05-31,35,24
3,621e32d967b776a240627414,panas,2021-06-07,28,19
4,621e32d967b776a240627414,panas,2021-06-14,28,16
5,621e32d967b776a240627414,panas,2021-06-21,24,13
6,621e32d967b776a240627414,panas,2021-06-28,21,16
0,621e32e667b776a2406d2f1c,panas,2021-11-23,39,27
1,621e32e667b776a2406d2f1c,panas,2021-12-27,30,12
2,621e32e667b776a2406d2f1c,panas,2021-12-13,37,32
3,621e32e667b776a2406d2f1c,panas,2022-01-25,40,21
0,621e331067b776a24085dd3f,panas,2021-12-09,31,26
2,621e331067b776a24085dd3f,panas,2022-01-10,30,20
3,621e331067b776a24085dd3f,panas,2021-11-23,32,33
4,621e331067b776a24085dd3f,panas,2021-11-30,36,32
5,621e331067b776a24085dd3f,panas,2021-12-23,28,20
6,621e331067b776a24085dd3f,panas,2021-12-29,28,19
7,621e331067b776a24085dd3f,panas,2022-01-04,30,20
0,621e332267b776a24092a584,panas,2021-06-02,28,19
0,621e333567b776a240a0c217,panas,2021-11-23,34,25
0,621e333967b776a240a3cd06,panas,2021-11-27,37,19
0,621e335a67b776a240bb12ff,panas,2021-06-07,18,13
2,621e335a67b776a240bb12ff,panas,2021-05-31,29,17
3,621e335a67b776a240bb12ff,panas,2021-06-22,20,14
4,621e335a67b776a240bb12ff,panas,2021-07-05,20,15
5,621e335a67b776a240bb12ff,panas,2021-07-12,20,15
6,621e335a67b776a240bb12ff,panas,2021-07-20,19,15
7,621e335a67b776a240bb12ff,panas,2021-07-29,13,12
0,621e337667b776a240ce78ab,panas,2021-07-20,27,29
1,621e337667b776a240ce78ab,panas,2021-06-07,27,35
0,621e339967b776a240e502de,panas,2021-11-22,45,15
1,621e339967b776a240e502de,panas,2021-11-29,42,12
2,621e339967b776a240e502de,panas,2021-12-14,39,12
3,621e339967b776a240e502de,panas,2021-12-20,44,13
4,621e339967b776a240e502de,panas,2021-12-27,45,11
5,621e339967b776a240e502de,panas,2022-01-03,44,11
6,621e339967b776a240e502de,panas,2022-01-12,45,13
7,621e339967b776a240e502de,panas,2021-12-06,41,12
1,621e33b067b776a240f39e56,panas,2021-07-12,47,16
2,621e33b067b776a240f39e56,panas,2021-07-19,48,10
3,621e33b067b776a240f39e56,panas,2021-06-14,39,33
4,621e33b067b776a240f39e56,panas,2021-06-21,42,19
5,621e33b067b776a240f39e56,panas,2021-06-28,42,27
6,621e33b067b776a240f39e56,panas,2021-07-26,35,14
0,621e33cf67b776a240087de9,panas,2021-11-24,32,12
1,621e33cf67b776a240087de9,panas,2021-11-30,35,14
2,621e33cf67b776a240087de9,panas,2021-12-06,29,13
3,621e33cf67b776a240087de9,panas,2022-01-10,22,20
4,621e33cf67b776a240087de9,panas,2021-12-24,30,19
5,621e33cf67b776a240087de9,panas,2022-01-06,15,20
0,621e33ed67b776a2401cf5f7,panas,2021-06-21,28,15
1,621e33ed67b776a2401cf5f7,panas,2021-06-28,27,17
2,621e33ed67b776a2401cf5f7,panas,2021-07-12,35,16
3,621e33ed67b776a2401cf5f7,panas,2021-06-03,29,14
0,621e341067b776a24037b105,panas,2021-05-31,12,15
1,621e341067b776a24037b105,panas,2021-06-10,23,14
2,621e341067b776a24037b105,panas,2021-06-28,29,17
3,621e341067b776a24037b105,panas,2021-07-05,32,18
4,621e341067b776a24037b105,panas,2021-07-20,26,15
5,621e341067b776a24037b105,panas,2021-07-28,24,32
6,621e341067b776a24037b105,panas,2021-06-22,26,28
7,621e341067b776a24037b105,panas,2021-07-12,29,17
0,621e346f67b776a24081744f,panas,2021-11-24,32,23
1,621e346f67b776a24081744f,panas,2021-12-14,23,34
2,621e346f67b776a24081744f,panas,2021-12-23,29,19
3,621e346f67b776a24081744f,panas,2022-01-12,25,13
0,621e34db67b776a240c9c2be,panas,2021-07-05,39,29
1,621e34db67b776a240c9c2be,panas,2021-07-19,37,26
2,621e34db67b776a240c9c2be,panas,2021-05-31,42,18
3,621e34db67b776a240c9c2be,panas,2021-06-09,36,26
4,621e34db67b776a240c9c2be,panas,2021-06-22,37,27
0,621e34ec67b776a240d60873,panas,2021-06-02,24,25
8,621e34f767b776a240de4e1a,panas,2021-06-07,36,12
9,621e34f767b776a240de4e1a,panas,2021-06-20,29,10
10,621e34f767b776a240de4e1a,panas,2021-06-30,28,10
12,621e34f767b776a240de4e1a,panas,2021-07-26,33,12
0,621e351a67b776a240f6204b,panas,2021-06-14,31,18
1,621e351a67b776a240f6204b,panas,2021-07-26,37,10
2,621e351a67b776a240f6204b,panas,2021-08-02,35,11
0,621e356967b776a24027bd9f,panas,2022-01-03,26,15
1,621e356967b776a24027bd9f,panas,2021-11-24,48,12
2,621e356967b776a24027bd9f,panas,2021-12-10,44,19
3,621e356967b776a24027bd9f,panas,2022-01-10,41,12
0,621e360b67b776a24039709f,panas,2021-06-07,42,24
1,621e360b67b776a24039709f,panas,2021-07-04,40,28
2,621e360b67b776a24039709f,panas,2021-07-12,45,21
3,621e360b67b776a24039709f,panas,2021-07-26,31,29
4,621e360b67b776a24039709f,panas,2021-08-05,43,22
0,621e362467b776a2404ad513,panas,2021-06-27,31,13
1,621e362467b776a2404ad513,panas,2021-07-04,30,13
2,621e362467b776a2404ad513,panas,2021-07-11,29,13
3,621e362467b776a2404ad513,panas,2021-08-01,33,14
0,621e366567b776a24076a727,panas,2021-11-22,30,23
1,621e366567b776a24076a727,panas,2021-12-06,23,24
2,621e366567b776a24076a727,panas,2021-12-13,17,27
3,621e366567b776a24076a727,panas,2022-01-04,18,27
4,621e366567b776a24076a727,panas,2022-01-10,16,27
5,621e366567b776a24076a727,panas,2021-12-20,26,22
0,621e367e67b776a24087d75d,panas,2021-11-29,25,27
1,621e367e67b776a24087d75d,panas,2021-12-14,30,18
2,621e367e67b776a24087d75d,panas,2021-12-23,28,21
3,621e367e67b776a24087d75d,panas,2022-01-07,30,22
4,621e367e67b776a24087d75d,panas,2021-11-24,33,23
5,621e367e67b776a24087d75d,panas,2022-01-17,27,21
0,621e36c267b776a240ba2756,panas,2021-05-31,44,16
1,621e36c267b776a240ba2756,panas,2021-06-23,38,13
2,621e36c267b776a240ba2756,panas,2021-06-30,32,21
3,621e36c267b776a240ba2756,panas,2021-07-06,38,18
0,621e36f967b776a240e5e7c9,panas,2021-05-31,32,27
1,621e36f967b776a240e5e7c9,panas,2021-06-07,27,37
2,621e36f967b776a240e5e7c9,panas,2021-06-21,17,27
3,621e36f967b776a240e5e7c9,panas,2021-06-28,28,24
4,621e36f967b776a240e5e7c9,panas,2021-07-05,36,17
5,621e36f967b776a240e5e7c9,panas,2021-07-12,34,18
6,621e36f967b776a240e5e7c9,panas,2021-07-20,40,17
7,621e36f967b776a240e5e7c9,panas,2021-07-26,24,27
0,621e375367b776a24021e950,panas,2021-12-20,31,29
1,621e375367b776a24021e950,panas,2022-01-02,30,33
0,621e375b67b776a240290cdc,panas,2021-06-01,27,29
1,621e375b67b776a240290cdc,panas,2021-06-08,30,30
2,621e375b67b776a240290cdc,panas,2021-06-22,30,30
3,621e375b67b776a240290cdc,panas,2021-07-06,30,29
