,user_id,type,submitdate,extraversion,agreeableness,conscientiousness,stability,intellect,gender,ipip_extraversion_category,ipip_agreeableness_category,ipip_conscientiousness_category,ipip_stability_category,ipip_intellect_category
0,621e2e8e67b776a24055b564,bfpt,2021-05-31,21.0,33.0,45.0,42.0,40.0,MALE,LOW,LOW,HIGH,HIGH,HIGH
1,621e2eaf67b776a2406b14ac,bfpt,2021-11-29,32.0,45.0,30.0,18.0,41.0,FEMALE,AVERAGE,HIGH,AVERAGE,LOW,HIGH
2,621e2ed667b776a24085d8d1,bfpt,2021-06-07,40.0,43.0,22.0,28.0,34.0,FEMALE,HIGH,AVERAGE,LOW,AVERAGE,AVERAGE
3,621e2f3967b776a240c654db,bfpt,2021-05-31,25.0,34.0,30.0,39.0,37.0,MALE,LOW,AVERAGE,LOW,HIGH,AVERAGE
4,621e2f6167b776a240e082a9,bfpt,2021-06-01,41.0,41.0,30.0,34.0,30.0,FEMALE,HIGH,AVERAGE,AVERAGE,HIGH,LOW
5,621e2f7a67b776a240f14425,bfpt,2021-05-31,29.0,38.0,43.0,39.0,35.0,MALE,AVERAGE,AVERAGE,HIGH,HIGH,AVERAGE
6,621e2f9167b776a240011ccb,bfpt,2021-11-28,21.0,45.0,31.0,18.0,39.0,FEMALE,LOW,HIGH,AVERAGE,LOW,HIGH
7,621e2fb367b776a24015accd,bfpt,2021-05-31,37.0,36.0,29.0,27.0,41.0,MALE,HIGH,AVERAGE,LOW,LOW,HIGH
8,621e2fce67b776a240279baa,bfpt,2021-05-31,34.0,42.0,35.0,27.0,35.0,MALE,HIGH,HIGH,AVERAGE,LOW,AVERAGE
9,621e2ff067b776a2403eb737,bfpt,2021-11-29,33.0,44.0,23.0,11.0,30.0,FEMALE,AVERAGE,HIGH,LOW,LOW,LOW
10,621e301367b776a24057738e,bfpt,2021-06-01,26.0,36.0,31.0,39.0,36.0,MALE,AVERAGE,AVERAGE,AVERAGE,HIGH,AVERAGE
11,621e301e67b776a240608a72,bfpt,2021-05-31,35.0,44.0,40.0,19.0,35.0,FEMALE,AVERAGE,HIGH,HIGH,LOW,AVERAGE
12,621e309b67b776a240b532b0,bfpt,2021-11-22,34.0,40.0,37.0,42.0,35.0,MALE,HIGH,HIGH,AVERAGE,HIGH,AVERAGE
13,621e30c867b776a240d4aa6c,bfpt,2021-06-04,34.0,40.0,26.0,24.0,39.0,FEMALE,AVERAGE,AVERAGE,LOW,AVERAGE,HIGH
14,621e30e267b776a240e5bf90,bfpt,2021-11-23,38.0,42.0,27.0,33.0,35.0,MALE,HIGH,HIGH,LOW,AVERAGE,AVERAGE
15,621e30e467b776a240e817c7,bfpt,2021-06-06,34.0,20.0,22.0,13.0,27.0,MALE,HIGH,LOW,LOW,LOW,LOW
16,621e30f467b776a240f22944,bfpt,2021-11-29,28.0,40.0,34.0,29.0,36.0,MALE,AVERAGE,HIGH,AVERAGE,AVERAGE,AVERAGE
17,621e310d67b776a24003096d,bfpt,2021-12-03,43.0,48.0,31.0,30.0,41.0,FEMALE,HIGH,HIGH,AVERAGE,AVERAGE,HIGH
18,621e312a67b776a240164d59,bfpt,2021-11-22,25.0,33.0,40.0,30.0,33.0,MALE,LOW,LOW,HIGH,AVERAGE,LOW
19,621e314867b776a24029ebf9,bfpt,2021-05-31,20.0,40.0,39.0,42.0,35.0,MALE,LOW,HIGH,HIGH,HIGH,AVERAGE
20,621e323667b776a240f19134,bfpt,2021-11-23,39.0,44.0,32.0,33.0,38.0,MALE,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE
21,621e324e67b776a2400191cb,bfpt,2021-11-27,32.0,39.0,41.0,46.0,37.0,MALE,AVERAGE,AVERAGE,HIGH,HIGH,AVERAGE
22,621e328667b776a240281372,bfpt,2021-05-31,37.0,39.0,39.0,27.0,30.0,MALE,HIGH,AVERAGE,HIGH,LOW,LOW
23,621e329067b776a2402ffad2,bfpt,2021-05-31,29.0,47.0,39.0,31.0,40.0,MALE,AVERAGE,HIGH,HIGH,AVERAGE,HIGH
24,621e32af67b776a24045b4cf,bfpt,2021-05-31,18.0,36.0,46.0,18.0,43.0,MALE,LOW,AVERAGE,HIGH,LOW,HIGH
25,621e32d067b776a2405b7d54,bfpt,2021-12-09,21.0,36.0,27.0,33.0,33.0,FEMALE,LOW,LOW,LOW,HIGH,LOW
26,621e32d967b776a240627414,bfpt,2021-05-31,34.0,34.0,39.0,33.0,46.0,MALE,HIGH,AVERAGE,HIGH,AVERAGE,HIGH
27,621e331067b776a24085dd3f,bfpt,2021-11-23,19.0,40.0,41.0,25.0,35.0,FEMALE,LOW,AVERAGE,HIGH,AVERAGE,AVERAGE
28,621e332267b776a24092a584,bfpt,2021-06-02,22.0,32.0,26.0,31.0,46.0,MALE,LOW,LOW,LOW,AVERAGE,HIGH
29,621e333567b776a240a0c217,bfpt,2021-11-23,30.0,41.0,36.0,24.0,34.0,MALE,AVERAGE,HIGH,AVERAGE,LOW,LOW
30,621e333967b776a240a3cd06,bfpt,2021-11-27,22.0,37.0,39.0,24.0,48.0,MALE,LOW,AVERAGE,HIGH,LOW,HIGH
31,621e335a67b776a240bb12ff,bfpt,2021-05-31,21.0,29.0,39.0,31.0,28.0,FEMALE,LOW,LOW,HIGH,AVERAGE,LOW
32,621e337667b776a240ce78ab,bfpt,2021-06-07,22.0,30.0,24.0,24.0,46.0,MALE,LOW,LOW,LOW,LOW,HIGH
33,621e339967b776a240e502de,bfpt,2021-11-22,35.0,45.0,29.0,44.0,35.0,FEMALE,AVERAGE,HIGH,AVERAGE,HIGH,AVERAGE
35,621e33b067b776a240f39e56,bfpt,2021-06-08,45.0,49.0,41.0,36.0,45.0,MALE,HIGH,HIGH,HIGH,HIGH,HIGH
36,621e33cf67b776a240087de9,bfpt,2021-11-24,16.0,31.0,41.0,37.0,28.0,MALE,LOW,LOW,HIGH,HIGH,LOW
37,621e33ed67b776a2401cf5f7,bfpt,2021-06-03,39.0,48.0,35.0,42.0,44.0,MALE,HIGH,HIGH,AVERAGE,HIGH,HIGH
38,621e341067b776a24037b105,bfpt,2021-05-31,19.0,30.0,25.0,21.0,30.0,MALE,LOW,LOW,LOW,LOW,LOW
39,621e346f67b776a24081744f,bfpt,2021-11-24,35.0,44.0,21.0,33.0,35.0,FEMALE,AVERAGE,HIGH,LOW,HIGH,AVERAGE
40,621e34db67b776a240c9c2be,bfpt,2021-05-31,28.0,45.0,35.0,36.0,41.0,FEMALE,AVERAGE,HIGH,AVERAGE,HIGH,HIGH
41,621e34ec67b776a240d60873,bfpt,2021-06-02,31.0,29.0,25.0,30.0,30.0,MALE,AVERAGE,LOW,LOW,AVERAGE,LOW
42,621e34f767b776a240de4e1a,bfpt,2021-06-07,40.0,42.0,43.0,32.0,37.0,FEMALE,HIGH,AVERAGE,HIGH,HIGH,AVERAGE
43,621e356967b776a24027bd9f,bfpt,2021-11-24,26.0,38.0,41.0,25.0,39.0,FEMALE,LOW,LOW,HIGH,AVERAGE,HIGH
44,621e360b67b776a24039709f,bfpt,2021-06-07,31.0,42.0,31.0,26.0,39.0,FEMALE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,HIGH
45,621e362467b776a2404ad513,bfpt,2021-06-02,19.0,36.0,28.0,35.0,35.0,FEMALE,LOW,LOW,LOW,HIGH,AVERAGE
47,621e366567b776a24076a727,bfpt,2021-11-22,30.0,36.0,41.0,33.0,37.0,MALE,AVERAGE,AVERAGE,HIGH,AVERAGE,AVERAGE
48,621e367e67b776a24087d75d,bfpt,2021-11-24,13.0,26.0,28.0,28.0,34.0,MALE,LOW,LOW,LOW,LOW,LOW
49,621e36bb67b776a240b40d64,bfpt,2021-06-02,41.0,29.0,33.0,17.0,30.0,FEMALE,HIGH,LOW,AVERAGE,LOW,LOW
50,621e36c267b776a240ba2756,bfpt,2021-05-31,39.0,36.0,23.0,40.0,28.0,MALE,HIGH,AVERAGE,LOW,HIGH,LOW
51,621e36dd67b776a240ce9a45,bfpt,2021-07-21,33.0,34.0,36.0,32.0,38.0,MALE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE
52,621e36f967b776a240e5e7c9,bfpt,2021-05-31,42.0,42.0,38.0,31.0,41.0,FEMALE,HIGH,AVERAGE,HIGH,AVERAGE,HIGH
54,621e375b67b776a240290cdc,bfpt,2021-06-01,34.0,46.0,33.0,18.0,40.0,FEMALE,AVERAGE,HIGH,AVERAGE,LOW,HIGH
